,date,open,high,low,close,adjClose,volume
92,2022-04-14,288.0899963,288.3099976,279.3200073,279.8299866,279.1797485,28221600.0
93,2022-04-13,282.730011,288.5799866,281.2999878,287.6199951,286.9516602,21907200.0
94,2022-04-12,289.2399902,290.7399902,280.4899902,282.0599976,281.4045715,30966700.0
95,2022-04-11,291.7900085,292.6099854,285.0,285.2600098,284.597168,34569300.0
96,2022-04-08,300.4400024,301.1199951,296.2799988,296.9700012,296.2799377,24361900.0
97,2022-04-07,296.6600037,303.6499939,296.3500061,301.3699951,300.6697083,31411200.0
98,2022-04-06,305.1900024,307.0,296.7099915,299.5,298.8040466,40110400.0
99,2022-04-05,313.269989,314.8699951,309.8699951,310.8800049,310.1576233,23156700.0
100,2022-04-04,310.0899963,315.1099854,309.7099915,314.9700012,314.2380981,24289600.0
101,2022-04-01,309.3699951,310.1300049,305.5400085,309.4200134,308.7010193,27110500.0
102,2022-03-31,313.8999939,315.1400146,307.8900146,308.3099976,307.5935669,33422100.0
103,2022-03-30,313.7600098,315.9500122,311.5799866,313.8599854,313.1306763,28163600.0
104,2022-03-29,313.9100037,315.8200073,309.0499878,315.4100037,314.6770935,30393400.0
105,2022-03-28,304.3299866,310.7999878,304.3299866,310.7000122,309.9780579,29578200.0
106,2022-03-25,305.230011,305.5,299.2900085,303.6799927,302.9743347,22566500.0
107,2022-03-24,299.1400146,304.2000122,298.3200073,304.1000061,303.3933716,24484500.0
108,2022-03-23,300.5100098,303.230011,297.7200012,299.4899902,298.7940674,25715400.0
109,2022-03-22,299.7999878,305.0,298.769989,304.0599976,303.3534546,27599700.0
110,2022-03-21,298.8900146,300.1400146,294.8999939,299.1600037,298.4648438,28351200.0
111,2022-03-18,295.3699951,301.0,292.730011,300.4299927,299.7318726,43390600.0
112,2022-03-17,293.2900085,295.6099854,289.3699951,295.2200012,294.5339966,30816600.0
113,2022-03-16,289.1099854,294.5700073,283.2000122,294.3900146,293.7059326,37826300.0
114,2022-03-15,280.3500061,287.8200073,278.730011,287.1499939,286.4827576,34245100.0
115,2022-03-14,280.3399963,285.3999939,275.8200073,276.4400024,275.7976379,30660700.0
116,2022-03-11,287.9599915,289.5100098,279.4299927,280.0700073,279.41922,27209300.0
117,2022-03-10,283.019989,286.6000061,280.5799866,285.5899963,284.9263611,30628000.0
118,2022-03-09,283.4400024,289.6000061,280.7799988,288.5,287.8296204,35204500.0
119,2022-03-08,277.7999878,283.9599915,270.0,275.8500061,275.2090149,48159500.0
120,2022-03-07,288.5299988,289.6900024,278.5299988,278.9100037,278.2619019,43157200.0
121,2022-03-04,294.2900085,295.6600037,287.1700134,289.8599854,289.1864319,32356500.0
122,2022-03-03,302.8900146,303.1300049,294.0499878,295.9200134,295.2323914,27314500.0
123,2022-03-02,295.3599854,301.4700012,293.7000122,300.1900024,299.4924622,31873000.0
124,2022-03-01,296.3999939,299.9700012,292.1499939,294.9500122,294.2646484,31217800.0
125,2022-02-28,294.3099976,299.1400146,293.0,298.7900085,298.0957031,34627500.0
126,2022-02-25,295.1400146,297.6300049,291.6499939,297.3099976,296.6191406,32546700.0
127,2022-02-24,272.5100098,295.1600037,271.519989,294.5899963,293.9054565,56989700.0
128,2022-02-23,290.1799927,291.7000122,280.1000061,280.269989,279.6187439,37811200.0
129,2022-02-22,285.0,291.5400085,284.5,287.7200012,287.0514221,41736100.0
130,2022-02-18,293.0499878,293.8599854,286.3099976,287.9299927,287.2609253,34264000.0
131,2022-02-17,296.3599854,296.7999878,290.0,290.730011,290.0544434,32461600.0
132,2022-02-16,298.3699951,300.8699951,293.6799927,299.5,298.8040466,29982100.0
133,2022-02-15,300.0100098,300.7999878,297.019989,300.4700012,299.1532288,27058300.0
134,2022-02-14,293.769989,296.7600098,291.3500061,295.0,293.7072144,36359500.0
135,2022-02-11,303.1900024,304.2900085,294.2200012,295.0400085,293.7470398,39175600.0
136,2022-02-10,304.0400085,309.1199951,300.7000122,302.3800049,301.0548706,45386200.0
137,2022-02-09,309.8699951,311.9299927,307.3900146,311.2099915,309.8461609,31284700.0
138,2022-02-08,301.25,305.5599976,299.9500122,304.5599976,303.2253113,32421200.0
139,2022-02-07,306.1700134,307.8399963,299.8999939,300.9500122,299.631134,28533300.0
140,2022-02-04,300.2099915,308.7999878,299.9700012,305.9400024,304.5992737,35096500.0
141,2022-02-03,309.4899902,311.230011,299.9599915,301.25,299.9298096,43730000.0
142,2022-02-02,309.6300049,315.1199951,308.8800049,313.4599915,312.0863037,36636000.0
143,2022-02-01,310.4100037,310.6300049,305.1300049,308.7600098,307.4069214,40950400.0
144,2022-01-31,308.9500122,312.3800049,306.3699951,310.980011,309.6171875,46444500.0
145,2022-01-28,300.230011,308.480011,294.4500122,308.2600098,306.9090881,49743700.0
146,2022-01-27,302.6600037,307.2999878,297.9299927,299.8399963,298.5259705,53481300.0
